session	day	PE	dwi_events	qct_events	rest_events	bht_events
27	2023-11-02	AP	fixation_2023-11-02_19h29.37.833_1_session_27.log	n/a	n/a	n/a
29	2023-11-03	PA	fixation_2023-11-03_19h15.36.495_2_session_29.log	qct_2023-11-03_19h58.22.540_0_session_29.log	rest_2023-11-03_20h06.12.290_0_session_29.log	bht_2023-11-03_20h27.56.353_0_session_29.log
