session	day	PE	dwi_events	qct_events	rest_events	bht_events
excl027	2023-11-02	AP	fixation_2023-11-02_19h29.37.833_1_session_27.log	n/a	n/a	n/a
excl029	2023-11-03	PA	fixation_2023-11-03_19h15.36.495_2_session_29.log	qct_2023-11-03_19h58.22.540_0_session_29.log	rest_2023-11-03_20h06.12.290_0_session_29.log	bht_2023-11-03_20h27.56.353_0_session_29.log
pilot002	2022-12-21	n/a	n/a	n/a	n/a	n/a
pilot004	2023-01-16	n/a	n/a	n/a	n/a	n/a
pilot005	2023-01-18	n/a	n/a	n/a	n/a	n/a
pilot006	2023-01-24	n/a	n/a	n/a	n/a	n/a
pilot007	2023-02-28	n/a	n/a	n/a	n/a	n/a
pilot008	2023-03-15	n/a	n/a	n/a	n/a	n/a
pilot009	2023-03-30	n/a	n/a	n/a	n/a	n/a
pilot010	2023-05-04	n/a	n/a	n/a	n/a	n/a
pilot011	2023-05-10	n/a	n/a	n/a	n/a	n/a
pilot012	2023-05-17	n/a	n/a	n/a	n/a	n/a
pilot013	2023-05-25	n/a	resting_state_2023-05-25_20h06.10.962.log	control_task_1_FINAL_2023-05-25_20h30.12.724.log	resting_state_2023-05-25_20h39.27.061.log	179297_breath_holding_task_2023-05-25_21h01.23.459.log
pilot014	2023-05-30	n/a	resting_state_2023-05-30_18h46.02.496.log	control_task_1_FINAL_2023-05-30_19h11.11.439.log	resting_state_2023-05-30_19h19.10.451.log	n/a
pilot015	2023-06-20	n/a	resting_state_2023-06-20_16h57.50.455.log	control_task_1_FINAL_2023-06-20_17h30.27.181.log	resting_state_2023-06-20_17h41.51.034.log	815248_breath_holding_task_2023-06-20_18h04.46.377.log
pilot016	2023-07-14	n/a	n/a	control_task_1_FINAL_2023-07-14_18h27.05.674.log	resting_state_2023-07-14_18h39.18.972.log	069199_breath_holding_task_2023-07-14_19h00.48.418.log
pilot019	2023-09-25	n/a	fixation_2023-09-25_18h47.13.142_4.log	qct_2023-09-25_19h21.55.846_2.log	resting_state_2023-09-25_19h31.44.699_1.log	breath_holding_task_2023-09-25_19h53.06.956_0.log
pilot020	2023-10-05	n/a	fixation_2023-10-05_18h16.38.277_4.log	qct_2023-10-05_18h53.24.053_4.log	n/a	breath_holding_task_2023-10-05_19h01.42.281_1.log
pilot021	2023-10-12	n/a	fixation_2023-10-12_17h24.43.540_0.log	qct_2023-10-12_18h07.37.632_1.log	rest_2023-10-12_18h15.43.133_1.log	bht_2023-10-12_18h38.56.799_0.log
