bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-001_ses-pilot009_acq-undistorted_T1w	0.7209223397928879	1.4232521789940078	0.5164924812487103	24428.761493971182	4.40911660096571	4.348187435206958	4.43298743394334	4.446174933746831	0.2570385543006887	0.3800938062308398	0.36286763946847145	0.45433658361434937	0.18817752599716187	0.0	0.0011130283010409023	8.209219248121313	8.092560378542387	8.15866608359184	240	320	320	2.3477770426120963	8.0548611160315	7.916454008455536	13.34672386672301	72.04767704558981	118.60843087415891	111.76769952887078	144.64699066686364	0.800000011920929	0.800000011920929	0.800000011920929	4.255001560001129	0.0	2.3742505711665087	0.0	6723475.0	0.0	12.044046521186829	4.291136752238686	0.0754976594987613	153.56615879202792	479.1943007241131	471.9115513712168	762199.2530992061	116.2250489294529	802.2195272147655	201.00343143051398	-0.09225170015643824	65.17633483615138	780.5091139369729	776.8840150684118	1127096.3455461834	623.580508634448	954.7057590633631	96.4490460155217	-0.33738114228341587	57.778629512282926	936.4796015581167	947.4363166987896	1076015.4037171998	803.5959896743298	1035.9600586295128	70.98639980172902	0.20135007316746828	0.5189381356466483	0.5512236662141242	0.4462498480489485
sub-001_ses-pilot010_acq-original_T1w	0.7212962621682991	1.4210334663044184	0.506882399641611	23921.777777777777	4.360095768362844	4.31188743574787	4.391549934560807	4.3768499347798535	0.2571698963261128	0.37990927793221585	0.36292082574167134	0.4575919061899185	0.18343793898820876	0.0	0.0010111843368466097	8.195472477420875	8.078856545150522	8.14537918139959	240	320	320	2.338109955049447	7.980307764028602	7.804093739578444	13.093863499657282	55.50097709351172	91.43206773125804	86.22949184005796	111.75543069540414	0.800000011920929	0.800000011920929	0.800000011920929	3.4641215285707423	0.0	3.557936336916371	0.0	6694621.0	0.0	15.249038878828287	5.521373345896539	0.09177043504590676	153.13412737264343	474.45309130840747	467.75238804519176	763827.5103828448	116.41971608623862	795.4123310931027	200.05563931889492	-0.46190163407307905	65.3269803095342	774.3740880724322	770.573245100677	1128379.1846551502	617.5212769769132	948.5938944481313	96.55929651267344	-0.32132972517441694	58.21786774643784	931.3151516656018	941.8549424223602	1077921.3070911812	796.7946802265942	1033.2627788744867	71.93098550035116	0.20306915657326813	0.5208880767122288	0.553485869871924	0.4404735449200994
sub-001_ses-pilot010_acq-undistorted_T1w	0.7185442224084438	1.4306370729512388	0.5093236419447446	-1.0	4.453762433633767	4.390149934581668	4.493212433045917	4.4779249332737185	0.2583518267772529	0.3796042398055789	0.3620439334171681	0.45533300936222076	0.18718232512474048	0.0	0.0009196358417163983	8.195888809664629	8.080164819425786	8.146237100552105	240	320	320	2.3288298929724736	7.98168261210733	7.8067533885303915	13.109747660511369	80.64747961310505	133.70179880297908	125.98323009370439	163.60041186502906	0.800000011920929	0.800000011920929	0.800000011920929	9.51953629735758	0.0	1.5863433755040102	0.0	6691394.0	0.0	8.736894987523556	3.7714124388739116	0.08646733871747259	154.02137956527707	471.60024129956383	464.2619579322636	767374.6811778939	113.41321779042482	792.6860009394586	199.3540433472411	-0.4685389944351934	65.38352516587653	773.429073514643	769.6788441389799	1127527.0863315254	616.7831818573177	947.5786677896976	96.43060745845636	-0.3342900740315504	58.290029511088036	931.1630635919506	941.795675393194	1075368.2350306166	796.6384058147669	1032.7425917871296	71.83931086144597	0.20041628091178848	0.5202900057125395	0.5531182078518924	0.4509901581862374
sub-001_ses-pilot011_acq-original_T1w	0.7911818422086405	1.2833771211713079	0.5022856032682897	-1.0	4.283562436169945	4.20122493739687	4.37994993473366	4.269512436379307	0.2561595552285271	0.37763256422087044	0.3662078805506023	0.47964873909950256	0.1758666694164276	0.0	0.00028527470813701503	8.178382530787278	8.049739303082577	8.117299002648533	240	320	320	2.3767158109598756	7.843001326624864	7.633284118346012	12.680135217453294	56.19373667870861	90.82645697622216	85.46592358019574	109.37757708565643	0.800000011920929	0.800000011920929	0.800000011920929	7.183865414034978	0.0	3.244833206176474	0.0	6699237.0	0.0	15.309898186475039	5.6076345756896915	0.2281057605882415	151.48326959862655	486.06373584915923	480.98982248082757	762084.1551396865	122.98797364905477	809.3894512541592	202.37569198952772	-0.4707287059790257	65.48959821941529	780.8112454623351	777.428304284811	1123470.8515977548	619.7964824736118	955.781680136919	99.12378258200673	-0.2163754226249841	60.14070956903372	928.0446761739066	936.2164628170431	1089481.9949461764	794.9121155068278	1036.725250609219	73.83328466931707	0.20410650647126835	0.520213754107118	0.5494135684610137	0.4179434234978319
sub-001_ses-pilot011_acq-undistorted_T1w	0.7919540050043481	1.2878394855880444	0.508842451438853	-1.0	4.390016601250322	4.284462436156534	4.49586243300643	4.389724934588001	0.25629387517219765	0.3775746090540554	0.3661315157737469	0.4711354970932007	0.17333213388919833	0.0	0.0003333873996166161	8.186464835314672	8.057946196481945	8.124818404857326	240	320	320	2.3819701399945497	7.885029176845163	7.666925167691033	12.733776186233383	59.56434222684358	96.82216750758693	90.9836807107195	116.56453239772796	0.800000011920929	0.800000011920929	0.800000011920929	4.35116510990219	0.0	3.0237492707469262	0.0	6703203.0	0.0	14.782982587814331	5.259289659226273	0.12415657389297641	152.08300580763083	483.9661153454364	478.16932341456413	761858.9175974382	124.10829567909241	806.2312102615833	200.74517374011	-0.44864419928318444	65.43328318577163	780.514247467074	777.2668780982494	1122377.9061162805	620.3266094624996	954.6196953654289	98.57497219181772	-0.24004870086523988	60.08138855324503	927.5390109620391	935.7542030513287	1088362.178449574	795.0580257475376	1035.496361732483	73.48596044682225	0.20317708514587784	0.5210476664440966	0.5507296692160875	0.42781641714802154
sub-001_ses-pilot012_acq-original_T1w	0.7190077476149229	1.4088619007742975	0.510370679095818	23231.56607709751	4.298174935952203	4.2852499361448	4.2326874369280425	4.376587434783765	0.25525939836486755	0.3810680622481785	0.36367253938695393	0.4599926322698593	0.18995510339736937	0.0	0.0009748127145659432	8.193148197970423	8.07371139676653	8.139064519844574	240	320	320	2.321541854619356	8.12660016098655	7.8026165473701115	12.959707626504427	57.701679197624	94.56374144190931	89.16029789427846	115.21547304330204	0.800000011920929	0.800000011920929	0.800000011920929	5.259797958329084	0.0	3.273549687757885	0.0	6741715.0	0.0	14.75983339548111	5.354842043405951	0.08940949324415692	154.06616991653456	478.01439447230115	471.63213300704956	758381.2887583412	108.26721721887589	801.2115342020988	203.15456347337692	-0.32232459060581053	63.37204526123466	777.4460307837284	772.9289632737637	1132161.5971974062	622.9417545497417	949.9189885854721	95.11094511986757	-0.35377231602485804	57.996173158235706	930.7213976750226	941.7285608053207	1080479.1160404796	794.5141531527042	1033.3589715957642	72.66584649542072	0.20532804187412013	0.5212872975872589	0.5527266817633761	0.44066510528907915
sub-001_ses-pilot012_acq-undistorted_T1w	0.7096987477134002	1.443807858721216	0.5134379236911584	-1.0	4.406370767673292	4.375812434795313	4.347012435224467	4.496287433000097	0.2581887101293228	0.3806635450165204	0.36114774485415685	0.46473708748817444	0.19906030297279353	0.0	0.0008496542893273623	8.189285524080683	8.074086811403125	8.139226308888185	240	320	320	2.3263938676180556	8.202178245050082	7.901656237098621	13.176396598627727	84.01890155316839	137.94503072204856	130.1418241807011	168.46154026688632	0.800000011920929	0.800000011920929	0.800000011920929	14.316475102714062	0.0	1.44184494760338	0.0	6715221.0	0.0	8.529228027909994	3.6666199562914676	0.09953632260455647	154.3978895023793	477.20284931040385	470.230903275311	767500.280556926	108.34199894964695	799.1262572295964	202.12854043388253	-0.1156279664529567	63.65905791708167	776.6758177017387	772.0407574921846	1131573.0166963353	624.4643096141517	947.7012488767505	94.12626661971782	-0.37159286792190027	57.55222968666395	932.0835227853452	942.8333480022848	1073559.7050670062	797.5452295951545	1032.9103171750903	71.5546850635101	0.19839794097791216	0.517501480954664	0.5503083693301186	0.4518734172166943
sub-001_ses-pilot013_acq-original_T1w	0.7464600570152669	1.3607263942376147	0.505826629182851	-1.0	4.1064082721430815	4.079362439212763	4.05526243957188	4.1845999376446015	0.2567918473985778	0.3802099845453793	0.362998168056043	0.4632859379053116	0.1624207466840743	0.0	0.00033303217183621445	8.224752868187192	8.101879836011042	8.166999976841044	240	320	320	2.3406952689802156	8.204921714778422	7.780781793048969	12.79672839538827	44.63889187480062	72.58824747753823	68.35968687984295	87.85192128719	0.800000011920929	0.800000011920929	0.800000011920929	277.88083519871196	0.0	3.560901338094805	0.0	6681424.0	0.0	15.948614832013845	7.006637131811501	0.21138772476354095	154.56999406201558	483.5556421814344	477.4097689166665	759978.0408181818	111.07227096706629	806.7814363241196	203.96053307276915	0.21067721278111673	63.097725991786746	780.8215243219813	776.3261362202466	1125235.2521371706	627.7636966891587	951.0180871747434	94.6170869443125	-0.3142434172961588	58.757328002618664	929.893815509979	939.5700403638184	1074296.709083719	794.4594928100705	1035.829762212932	73.42264163447526	0.2014158180824081	0.5179450431325723	0.5522967551808937	0.4277756736250767
sub-001_ses-pilot013_acq-undistorted_T1w	0.7497374900112445	1.358991678766781	0.514195367492792	-1.0	4.213979103873485	4.167299937902392	4.170024937861786	4.304612435856276	0.2568732084208166	0.3799188222175781	0.3632079693616052	0.4590827226638794	0.16238005161285407	0.0	0.00035196571618719086	8.225039136351523	8.101857436172734	8.166545168758406	240	320	320	2.3449694279451374	8.217321610784733	7.8080696096161075	12.86191779011845	50.490480855846144	82.52717591018603	77.60502697679051	99.79742416433939	0.800000011920929	0.800000011920929	0.800000011920929	317.26268405519914	0.0	3.0173203228485246	0.0	6669192.0	0.0	14.11168758943677	6.164548808041836	0.2633535230933526	154.5010657990665	482.4159828882263	475.0934821777046	760265.0667680635	113.93881090730429	805.1702773608267	202.60100795488506	-0.0010946849080357701	63.064092444217735	780.9309426212759	776.5448598004878	1124441.9397234577	627.949995610863	950.7498236894608	94.50092758678282	-0.3400507115541007	58.772396172021445	929.4741503310636	939.0503903888166	1074982.9955992252	794.9181966334581	1034.6962729394436	73.01010385369091	0.20111744794450592	0.5183517154262721	0.5528191553263064	0.44385534842179275
sub-001_ses-pilot014_acq-original_T1w	0.7605665618096534	1.3234566936236756	0.5066418736809541	-1.0	4.147537438196877	4.1246124385384855	4.104587438836881	4.213412437215262	0.25654665476002986	0.3790583967741138	0.36439494846585635	0.5011704564094543	0.20055487900972357	0.0	0.0008165067273632556	8.170511060748796	8.043943295341116	8.109726825888451	240	320	320	2.3095141015789644	7.943835504946569	7.62816484929571	12.631144941361597	40.75227044007534	66.77833208617393	62.77168491475165	80.78445221800565	0.800000011920929	0.800000011920929	0.800000011920929	77.95945675973466	0.0	4.004195863054971	0.0	6943528.0	0.0	18.580143816769123	7.653148900715156	0.3139253931358468	155.27715645671685	483.1433841535222	476.05841122567654	764163.2068381209	112.35902890190482	811.7489200346172	206.12911582141595	-0.04891776265616965	64.961493522051	784.6107733439986	780.0887247249484	1129083.0524715662	626.1323589198291	960.205193515867	98.20046988470425	-0.09907433476399197	59.479510946350494	934.1157861879833	943.7049165442586	1085405.742810194	797.3747291713953	1042.0595086887479	74.7125051767429	0.2013536732085846	0.5187663038305383	0.5503427980406886	0.4165918550559047
