rater_id	dataset	subject	rating	artifacts	time_sec	confidence	comments
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-excl027_acq-undistorted_T1w	3.55	"[""eye-spillover"",""noise-local""]"	209.948	2.5	local noise close to the ventricles
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-excl029_acq-undistorted_T1w	3.45	"[""eye-spillover"",""inu""]"	113.066	3.5	light INU
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot001_acq-morphobox_T1w	1.2	"[""ghost-aliasing""]"	84.348	4.0	low resolution
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot001_acq-morphobox_T1w	1.85	"[""eye-spillover"",""ghost-aliasing""]"	42.385	4.0	low resolution
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot002_acq-morphobox_T1w	1.75	"[""head-motion"",""ghost-aliasing""]"	90.988	3.5	ghost and head motion visible in the background but not in T1w
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot003_acq-morphobox_T1w	1.75	"[""eye-spillover"",""noneye-spillover"",""ghost-aliasing""]"	96.921	3.5	artifacts detected visible only in the bg
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot004_acq-morphobox_T1w	1.9	"[""eye-spillover"",""ghost-aliasing""]"	72.793	3.25	
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot006_acq-undistorted_T1w	1.45	"[""eye-spillover"",""noise-global"",""ghost-aliasing""]"	131.688	2.75	low contrast, eye spillover visible on T1w
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot006_acq-original_T1w	1.45	[]	79.232	2.45	eye spillover overlaps with GM in T1w
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot008_acq-original_T1w	2.75	"[""eye-spillover"",""noise-global"",""ghost-aliasing""]"	105.792	3.4	
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot008_acq-undistorted_T1w	2.95	"[""head-motion"",""noise-global""]"	136.692	3.15	light headmotion (HM) ringing
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot009_acq-original_T1w	1.3	"[""eye-spillover"",""ghost-aliasing""]"	56.008	3.5	eye spillover overlaps with GM in T1w
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot009_acq-undistorted_T1w	2.65	"[""eye-spillover"",""ghost-aliasing""]"	70.745	3.5	
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot010_acq-original_T1w	1.25	"[""eye-spillover"",""ghost-aliasing""]"	143.274	3.65	Eye spillover like artifact on lower occipital lobe, ESP overlaps with GM in T1w
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot010_acq-undistorted_T1w	1.45	"[""eye-spillover"",""ghost-aliasing""]"	79.268	3.65	Eye spillover like artifact in lower occipital lobe, 
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot011_acq-original_T1w	1.4	"[""eye-spillover"",""noneye-spillover"",""noise-global""]"	229.136	1.85	ESP overlap GM in T1w, ESP like artifact in occipital lobe
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot011_acq-undistorted_T1w	1.55	"[""eye-spillover"",""noneye-spillover""]"	168.172	0.4	slice 82-83 heat motion ringing visible, occipital ESP-like visible
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot012_acq-undistorted_T1w	1.9	"[""eye-spillover"",""ghost-aliasing""]"	103.997	3.5	
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot012_acq-original_T1w	1.45	"[""eye-spillover"",""noneye-spillover"",""ghost-aliasing"",""uncategorized""]"	172.492	1.4	ESP overlaps GM in T1w, ESP-like in occipital lobe visible
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot013_acq-undistorted_T1w	2.0	"[""eye-spillover"",""noise-local"",""ghost-aliasing""]"	171.071	2.7	noisy close to the ventricles
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot013_acq-original_T1w	2.0	"[""eye-spillover"",""ghost-aliasing""]"	162.818	2.4	ESP overlaps GM 
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot014_acq-original_T1w	1.7	"[""head-motion"",""eye-spillover"",""ghost-aliasing""]"	293.94	3.5	bad artifact in the bg, ESP overlaps GM
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot014_acq-undistorted_T1w	2.1	"[""head-motion"",""eye-spillover""]"	204.442	3.5	bad artifact in bg, ESP overlaps with GM
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot015_acq-original_T1w	2.6	"[""eye-spillover""]"	149.213	3.2	ESP on slice 94 (only left) on not on other T1w slice
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot015_acq-undistorted_T1w	2.65	"[""eye-spillover"",""ghost-aliasing""]"	83.156	3.25	ESP only left slice 94, rest not so much
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot016_acq-undistorted_T1w	1.6	"[""head-motion"",""eye-spillover"",""ghost-aliasing"",""uncategorized""]"	180.636	3.8	artifact in the bg, head motion ripples visible on T1w, ESP overlaps GM
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot016_acq-original_T1w	1.55	"[""eye-spillover"",""uncategorized""]"	89.93	3.5	artifact in bg, HM ripple visible in GM, ES overlaps GM
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot017_acq-original_run-1_T1w	1.0	[]	92.458	4.0	looks like two images are overlapped
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot017_acq-undistorted_run-1_T1w	1.0	[]	24.517	4.0	looks like two images were merged into one
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot017_acq-undistorted_run-2_T1w	1.0	[]	31.326	4.0	looks like two images were merged into one
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot017_acq-original_run-2_T1w	1.0	[]	11.97	4.0	looks like two images were merged into one
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot017_acq-original_run-3_T1w	1.0	[]	30.188	4.0	looks like two images were merged into one
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot017_acq-undistorted_run-3_T1w	1.0	[]	20.077	4.0	looks like two images were merged into one
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot017_acq-original_run-4_T1w	2.65	"[""wrap-around""]"	264.05	3.2	narrow FOV, wrap-around nose visible but does not overlap with GM
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot017_acq-undistorted_run-4_T1w	2.7	"[""wrap-around""]"	91.314	3.5	narrow FOV, nose wrap-around visible but does not overlap with GM, no ESP visible for once
celine	mriqc-23.2.0-withoutdwi	sub-001_ses-pilot018_acq-tra_run-1_T1w	1.0	[]	36.681	4.0	looks like two images were merged into one
